,,,,convex likes men,,,,,,,,,,,,,,
,Qualifiers,,,,,,,,,,,,,,,,,
,DT1,,,bbno$ x diamond pistols - help herself (with BENEE) [Collab Insane],Bakugo-,,3316275,★6.30,252,01:29,,4,10.3,9.6,,high ar aim,,FALSE
,DT2,,,Wisp X - Final Moments [Ascension to Heaven],Musty,,3107389,★6.30,248,01:42,,4,9.7,10,,,,FALSE
,DT3,,,DIANA - Beethoven Virus [Insane],Orkay,,3524604,★6.27,234,02:23,,4,9.7,9.4,,stamina,,FALSE
,FM1,,,Morimori Atsushi - Txxs or get the fxxk out!! [Down's Extra],Luscent,,3449357,★5.79,220,02:25,,4,9.3,8,,Awk aim,,FALSE
,FM2,,,Cranky - Into the Unknown [Alvearia's Extra],Bakugo-,,3859195,★5.40,148,02:05,,5,8,8,,cs5 ar8,,FALSE
,TB,,,DystopiaGround - AugoEidEs [nao],Amamiya Yuko,,300689,★6.39,207,06:09,,4,9,8,,,,FALSE
,Quarter Finals,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Pick,Banner,,ARTIST - TITLE [DIFF],MAPPER,,MAP ID,SR,BPM,DRAIN,,CS,AR,OD,,,,
,NM1,,,,,,,,,,,,,,,,,
,NM2,,,,,,,,,,,,,,,,,
,NM3,,,,,,,,,,,,,,,,,
,NM4,,,,,,,,,,,,,,,,,
,NM5,,,,,,,,,,,,,,,,,
,HD1,,,,,,,,,,,,,,,,,
,HD2,,,,,,,,,,,,,,,,,
,HD3,,,,,,,,,,,,,,,,,
,HR1,,,,,,,,,,,,,,,,,
,HR2,,,,,,,,,,,,,,,,,
,HR3,,,,,,,,,,,,,,,,,
,DT1,,,,,,,,,,,,,,,,,
,DT2,,,,,,,,,,,,,,,,,
,DT3,,,,,,,,,,,,,,,,,
,FM1,,,,,,,,,,,,,,,,,
,FM2,,,,,,,,,,,,,,,,,
,TB,,,,,,,,,,,,,,,,,
,Semi Finals,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
