Round of 16,,,,,,,,,Suggestions,,,,,,,,,,,,,,,F,DT,,,Filter,,,,,,,,,,,A,Round of 16,★6.20,,Mappool Assembly,,,,,,,,,,,
suggest_ids,suggest_mods,pooled_ids,pooled_mods,pooled_picks,pooled_nums,pooled_sugs,pooled_notes,,Map ID/URL,Mod,Suggester,Skillset/Comments,Banner,Map + URL,SR,BPM,Drain,Combo,CS,AR,OD,HP,Map ID,,Mod,Suggester,Skillset/Comments,Banner,Map + URL,SR,BPM,Drain,Combo,CS,AR,OD,HP,Map ID,,Skillset/Notes,Mod,#,Map ID/URL,Banner,Map + URL,SR,BPM,Drain,Combo,CS,AR,OD,HP,Map ID
2193364,NM,3316275,DT,DT,1,suki,high ar aim,,https://osu.ppy.sh/beatmapsets/1049418#osu/2193364,NM,Fesco,nm1,,Kyary Pamyu Pamyu - Furisodation [I don't wanna be adult >...<],★6.25,200,03:55,1564x,4,9.3,9,6,2193364,,,,,,,,,,,,,,,,,high ar aim,DT,1,3316275,,bbno$ x diamond pistols - help herself (with BENEE) [Collab Insane],★6.30,252,01:29,635x,4,10.3,9.6,5.5,3316275
3853357,HD,3107389,DT,DT,2,kusiu,,,3853357,HD,Suki,hd2,,SHK - S.Y.S.T.E.M [osuways05's SHD],★5.51,140,02:12,909x,4,8,8.5,4.5,3853357,,,,,,,,,,,,,,,,,,DT,2,3107389,,Wisp X - Final Moments [Ascension to Heaven],★6.30,247.5,01:42,869x,4,9.7,10,5,3107389
3643054,NM,3524604,DT,DT,3,,stamina,,https://osu.ppy.sh/beatmapsets/1368404#osu/3643054,NM,Fesco,nm1,,Kito Akari - Desire Again [Flame Haze's Extra],★6.24,191,03:54,1595x,4,9.3,8.7,5,3643054,,,,,,,,,,,,,,,,,stamina,DT,3,3524604,,DIANA - Beethoven Virus [Insane],★6.27,234,02:23,1328x,4,9.7,9.4,5.6,3524604
3752950,HD,3449357,FM,FM,1,Convex,Awk aim,,3752950,HD,suki,hd1,,Shikiura. - Karada wa Shoujiki datte Ittenno [-45's Expert],★6.16,120,02:13,966x,4,9.3,9,7,3752950,,,,,,,,,,,,,,,,,Awk aim,FM,1,3449357,,Morimori Atsushi - Txxs or get the fxxk out!! [Down's Extra],★5.79,220,02:25,1100x,4,9.3,8,5,3449357
3720297,FM,3859195,FM,FM,2,kusiu,cs5 ar8,,https://osu.ppy.sh/beatmapsets/1813457#osu/3720297,FM,Fesco,fm2 uber awkward aim,,Hatsuki Yura - Le Bijoux [Another],★5.24,194,02:18,810x,5,8,8,5,3720297,,,,,,,,,,,,,,,,,cs5 ar8,FM,2,3859195,,Cranky - Into the Unknown [Alvearia's Extra],★5.40,148,02:05,832x,5,8,8,5,3859195
38426,NM,300689,TB,TB,1,Fesco,,,https://osu.ppy.sh/beatmapsets/9029#osu/38426,NM,Fesco,evil and devious nm5 low ar 220bpm,,t+pazolite - Luv-Lab-Poison 22ate! [Xtreme],★5.99,228,01:46,807x,5,8,8,6,38426,,,,,,,,,,,,,,,,,,TB,1,300689,,DystopiaGround - AugoEidEs [nao],★6.39,207,06:09,2888x,4,9,8,6,300689
3423826,FM,,,,,,,,3423826,FM,suki,fm2?,,Silver Forest - Kero (9) destiny [Nice Boat!],★5.68,172,02:25,792x,5,8,9,6,3423826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1417119,HD,,,,,,,,https://osu.ppy.sh/beatmapsets/550414#osu/1417119,HD,Fesco,hd1 dense aim,,nameless - Milk Crown on Sonnetica [apple's Expert],★6.13,255,03:22,1540x,4,9.5,8.5,5,1417119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1358299,HR,,,,,,,,1358299,HR,suki,hr1 or hr3,,succducc - me & u [thiinggs],★6.31,160,02:56,1298x,4.6,10,10,8.4,1358299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460720,TB,,,,,,,,2460720,TB,suki,nm1 or tb (better for tb),,"Suzuhara Lulu, Debidebi Debiru - Attouteki Sonzaikan [Konlulu~]",★6.28,180,04:28,1660x,4,9.4,9,6,2460720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1891490,NM,,,,,,,,1891490,NM,suki,nm3,,YUC'e - Chemical Cookie [kodoku's Extra],★6.05,180,01:41,922x,4,9.5,8,5,1891490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
589969,NM,,,,,,,,589969,NM,suki,nm2,,Yuyoyuppe - AiAe [Eternal],★6.07,180,03:32,2228x,4,9.3,8,6.3,589969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1478254,DT,,,,,,,,1478254,DT,namriee,dt2 255bpm long bursts,,Eleharmonica remixed by kors k - Der Wald (kors k Remix) [mithew's Light Insane],★6.19,255,01:19,868x,4,10,9.5,4,1478254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
539090,DT,,,,,,,,539090,DT,namriee,const finger control dt3?,,DJ Fresh (feat. Rita Ora) - Hot Right Now (Radio Edit) [Kysphyxia's Insane],★6.23,263,01:56,1053x,4,10,9.8,6.5,539090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3605364,NM,,,,,,,,https://osu.ppy.sh/beatmapsets/1761496#osu/3605364,NM,suki,nm1 or hd1,,Lon - Yuru Fuwa Jukai Girl [The Respite at Shinjuku Station],★6.15,216,02:54,1256x,4,9.4,9,5,3605364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3614009,HD,,,,,,,,https://osu.ppy.sh/beatmapsets/1765569#osu/3614009,HD,suki,hd3,,Iglooghost - Bug Thief [Seething With Acrididae],★6.29,187,02:53,1190x,4,9.4,9,4,3614009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4060413,NM,,,,,,,,https://osu.ppy.sh/beatmapsets/1959536#osu/4060413,NM,suki,nm3?,,Nekomata Master - Far east nightbird [Lost wing],★6.05,180,01:50,742x,4.5,9.3,9,6,4060413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1551175,DT,,,,,,,,1551175,DT,namriee,really funky dt3 all figner control with awk aim,,Sound Souler - Paradise [Hobbes2's Insane],★6.19,189,01:27,709x,3.4,9.9,9.1,5,1551175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3980887,TB,,,,,,,,https://osu.ppy.sh/beatmapsets/1927719#osu/3980887,TB,suki,,,AAAA - Bokutachi no Tabi to Epilogue.[Long ver.] [Fin],★6.31,183,05:25,2090x,3.8,9.4,9,5,3980887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
596161,DT,,,,,,,,596161,DT,namriee,overused dt2 240bpm shortstreams,,senya - Kimi to Dareka no Yasashisa ni [Affection],★6.28,240,02:02,1039x,4,10,9.1,6,596161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
