User ID,Player,Discord,Team,Time Zone,Unique
9086565,Kosiarek,Kosiarek#8268,Waldschrein Kids,UTC+1,
12047601,xMatrix382,xMatrix382#6513,Waldschrein Kids,UTC+1,
8246365,SpellZZZ,SpellZZZ#7960,Waldschrein Kids,UTC+1,
15975275,NEW GOD,지환 #2558,when the bnuuy,UTC +9,
1433427,myhan3,myhan3#5624,when the bnuuy,UTC +9,
14758501,jellium,angb#4767,when the bnuuy,UTC +9,
9362168,UC3,Seleen#9734,when the bnuuy,UTC +9,
10569381,KeitoChan,NUMAIVREAUNUMAIPOT#1919,ZAZA METHOD,GMT+2,
8511882,_Silvian,Silvian#8941,ZAZA METHOD,GMT+2,
10345787,Ficus Akishida,Ficus#7591,ZAZA METHOD,GMT+2,
12274213,IIANTONIOII,T0ny#4200,ZAZA METHOD,GMT+2,
